target,n_clases,hl_mean,hl_std,ema_mean,ema_std,f1_mean,f1_std
GDS_R2,3,0.1820,0.0170,0.6550,0.0476,0.5716,0.0763
GDS_R2,3,0.1853,0.0184,0.6764,0.0347,0.6202,0.0414
